Time		ROI1	ROI2	ROI3	ROI4	ROI5	ROI6	ROI7	ROI8	ROI9	ROI10	ROI11	ROI12	ROI13	ROI14	ROI15	ROI16	ROI17	ROI18	ROI19	ROI20	ROI21	ROI22	ROI23	ROI24	ROI25	ROI26	ROI27	ROI28	ROI29
0.5		1.0064736	1.037832	1.022797	1.0035296	1.016567	1.059997	1.052755	0.966525	1.027237	1.023159	1.066228	1.035921	1.0018136	1.0038136	1.040478	1.014826	1.02094	1.056588	1.019485	1.0044774	1.07138	1.031673	1.0073705	0.973741	1.041476	1.048571	1.010647	0.979842	0.994987
0.51		1.05847	1.001518	1.0098143	1.0074738	1.029248	1.01154	1.027228	0.981885	0.971947	1.040037	1.025039	1.033627	1.037775	1.031831	1.082833	0.981448	1.019793	1.021475	0.981987	0.9948176	1.0042024	1.0058948	1.015403	1.0065482	1.028757	0.975248	1.039196	0.936836	0.987602
0.52		1.058223	1.02281	1.018976	0.99918269	1.034962	0.9913035	1.0089546	1.057989	0.971885	0.964188	1.017236	1.018402	1.020936	1.057313	0.976233	1.015895	1.011923	1.063527	1.019261	1.081004	0.974209	0.9969111	1.011757	1.016814	0.9942206	0.983021	1.074361	0.986255	1.030152
0.53		1.02099	0.9979475	1.024224	0.989346	1.012594	0.9968131	1.024483	1.054826	0.987346	0.9952842	1.014123	1.0068395	1.0071171	1.0085032	1.019598	1.017479	1.0099696	1.032813	1.021799	1.0067379	0.9920724	1.030718	1.015925	1.0015504	1.011422	1.039178	1.033489	1.033281	1.013204
0.54		1.027226	0.971381	1.0044493	0.989919	0.981125	1.011381	1.023365	1.026839	1.0058667	1.010024	1.006207	0.985091	1.037373	0.9915175	0.988859	1.016639	1.029668	1.020146	1.036347	1.040956	0.9958389	1.074331	0.970541	0.9954096	1.00082768	1.014331	1.015351	1.030105	0.9901783
0.55		1.030919	0.967096	1.019172	1.035311	1.062163	1.012124	1.033677	1.041744	1.0017243	0.983333	1.03294	1.020996	1.029867	1.018195	1.05978	1.015786	1.01209	1.021603	0.989798	1.046972	0.99959735	0.977714	0.94647	0.97793	0.99925434	1.05463	1.017266	1.01034	1.018331
0.56		1.064204	1.0037284	0.9958888	0.9962281	1.027589	1.026432	1.02862	0.986503	0.956192	1.033409	0.9981006	0.962026	0.987577	1.0063227	1.014122	0.981225	1.042232	1.039655	1.03442	1.0036274	0.975996	1.015697	1.035962	0.948189	1.014967	1.029268	1.077829	0.984614	0.9911056
0.57		1.026298	0.968016	0.9916242	1.052892	0.980453	1.039708	1.056457	0.989475	0.971871	1.039788	1.045158	1.017666	1.036608	1.0098413	1.040895	1.024713	0.962712	1.014298	1.037984	1.015788	1.0081197	0.99961404	1.050683	1.032138	1.038519	1.053936	1.033827	1.012143	1.042303
0.58		1.0045315	1.026994	0.9989649	0.9950342	1.036148	1.017004	1.036542	0.969444	0.9964127	1.030997	0.976251	0.9920479	0.98161	0.978838	1.04082	1.023952	1.031436	1.010067	1.030297	1.042839	1.014404	1.024175	1.056751	1.0069996	1.0089841	1.043109	0.986983	1.009473	1.010495
0.59		1.02881	1.016074	1.026081	1.023653	1.013371	1.045115	1.084147	1.045157	0.978949	1.05845	0.9952076	0.959815	1.02153	0.97185	1.050837	1.020779	1.025453	1.057906	1.040757	1.0094293	1.033323	1.037533	1.029414	1.014571	0.9917656	0.970667	0.971047	1.011427	1.0056898
