Time	ROI1	ROI2	ROI3	ROI4	ROI5	ROI6	ROI7	ROI8	ROI9	ROI10	ROI11	ROI12	ROI13	ROI14	ROI15
1.16	1.0081489	1.021852	0.972326	0.9975048	1.026646	1.046382	1.012917	1.022175	1.07356	1.033648	1.022939	1.061426	1.022913	1.046064	1.022335
1.17	1.0012401	1.027977	1.018293	1.0074749	0.97451	0.998472	1.067106	1.015495	1.0068827	1.0084766	0.9975491	1.018825	1.047946	0.974229	0.966135
1.18	1.0070402	0.9989969	0.98193	0.998997	1.042973	0.941536	1.061603	1.046154	0.982729	0.93249	1.0032105	1.039239	1.060431	0.985006	1.0068631
1.19	1.0047553	1.038426	1.0017344	1.012438	1.089528	0.987046	1.0097853	1.024766	0.9960294	1.0077202	1.031617	1.023399	1.075766	1.022853	1.020045
1.2	1.017765	0.9974372	0.9926078	1.0053933	1.029707	1.023637	0.989085	0.9946987	0.9915867	1.0035888	1.0038454	0.99926308	1.030084	0.985161	1.046551
1.21	1.0058927	1.022162	1.0072815	0.99928652	0.9955377	1.20846	1.0071763	0.967961	1.023122	0.974686	1.042111	1.019084	1.033514	1.045681	1.020087
1.22	1.016434	0.981843	1.0086648	1.0086066	0.983736	1.24997	1.009971	1.00044155	0.9906434	1.0038221	1.039052	1.028593	1.0036793	1.020191	0.976897
1.23	1.0020387	1.009762	0.977743	1.015984	1.067496	1.19661	1.022129	1.023248	1.0067526	1.027476	0.931853	0.984928	1.052464	1.011562	1.00065771
1.24	0.9942225	1.055304	0.9935674	0.9987845	1.0036116	1.18159	1.068713	0.9945947	1.036356	0.9939256	1.013996	0.9932903	1.023062	1.0095679	0.986496
1.25	1.0052627	0.986845	0.9969167	1.0006423	1.048774	1.055409	0.975021	0.97373	1.034367	1.0095791	0.96128	1.096616	1.043144	0.93813	0.987641
1.26	0.9963915	1.044456	0.9949763	0.998225	1.044159	1.12133	0.957691	1.079839	1.026927	0.97502	1.067228	1.021976	1.022417	1.076253	1.035656
1.27	1.022037	1.013559	1.012613	1.0032505	1.097293	1.095356	1.074214	1.03596	1.048052	0.947796	1.03731	1.014218	1.0053445	0.952799	1.04819
1.28	1.010968	0.99952073	1.0063275	1.0040729	1.014984	0.978294	1.062443	1.022129	0.984328	1.037841	1.029244	1.0040349	1.0091648	0.981872	0.9975043
1.29	1.010555	1.034311	0.979173	1.0040831	1.06082	1.090761	1.01696	1.022602	0.9989045	1.036735	1.048097	1.01627	1.022244	1.0069435	0.97715
1.3	1.012439	1.017226	0.9961735	0.9942517	1.034417	1.070648	1.13975	0.963297	1.047049	0.970777	1.0086399	1.0060415	1.042648	0.977063	0.984261
1.31	1.027866	1.047981	0.974196	1.0070099	1.055732	1.1094	1.077537	1.0088154	1.046828	1.04948	1.004439	1.14399	1.056008	1.03587	1.0063868
1.32	0.9970024	1.0042368	0.9929821	1.0060378	1.031813	1.085869	1.04282	1.023707	1.040015	1.066682	1.028635	1.15373	1.055151	1.043858	0.972417
1.33	1.0031666	1.02488	0.970256	1.0010986	1.082606	1.062074	1.041179	1.078547	0.985987	1.013417	0.999928858	1.08156	1.074243	1.11625	1.071818
1.34	1.037056	1.023765	0.993098	1.0061402	1.031068	1.048642	1.043565	0.974067	0.998946	1.065781	1.033326	1.081084	1.06459	1.047041	1.012323
1.35	0.9903008	0.984259	1.0042645	0.9968919	1.02507	1.061853	1.035959	1.054637	1.0046413	1.0092651	1.060728	1.019925	1.017788	1.036223	0.981902
1.36	1.0036516	1.011517	0.9924069	1.0042994	0.96405	1.048602	0.9930858	0.989912	1.045057	1.0041028	1.016694	1.18107	1.023316	0.96905	1.0078546
1.37	1.011138	0.985015	0.995325	0.9987633	0.9989517	1.030079	1.10567	0.9909578	1.025096	0.966188	1.049102	1.15479	1.069868	1.055522	0.973113
1.38	1.015715	1.014669	0.982571	1.0085282	0.986466	1.022425	1.026879	1.016447	1.028322	1.11322	1.058007	1.048371	1.023734	0.925726	1.039805
1.39	1.0038475	1.010375	0.987765	0.997248	0.979865	1.0032593	1.028888	0.9846	1.037146	0.981948	1.013194	1.042503	1.041404	1.031181	0.955705
1.4	1.01901	1.024477	1.012226	1.0038965	1.024818	1.11556	0.985743	0.9201	1.001069	0.949319	1.0031841	1.040527	1.019374	0.937054	1.022387
1.41	1.0061966	1.021894	0.995026	1.011073	1.035061	1.044899	1.016313	1.053292	1.054449	1.024016	0.978206	1.04052	1.045973	1.0312	0.982354
1.42	0.9989246	1.049927	0.977778	0.989545	0.981072	1.10478	1.036182	1.039668	0.9962461	1.013446	0.980028	1.054495	1.057079	1.025751	1.0050041
1.43	1.010244	1.0026722	1.034686	1.0044576	1.057523	1.022651	0.985745	1.046649	1.046903	1.0013438	0.9904762	1.011691	1.047012	1.087281	1.026586
1.44	1.0014507	0.9966022	1.013333	1.0059239	1.027147	1.024613	1.022952	0.976658	1.012906	0.975114	1.10597	1.022657	1.0070033	1.012447	1.012732
1.45	1.014986	1.012521	0.9913494	0.99979826	1.025754	1.05972	1.02771	1.010184	1.018747	0.97438	1.027224	1.015666	1.052234	1.076676	1.053918
1.46	1.037359	1.013613	0.9953543	1.0060802	0.964627	0.961445	1.023234	1.029121	1.058368	1.0048739	1.053594	1.051908	1.074176	1.060228	1.0038586
1.47	1.023457	1.028524	0.987668	1.0074548	1.045785	1.027741	1.025098	1.035537	1.041384	0.988954	0.973904	1.01619	1.043199	1.015189	1.027167
1.48	1.017836	1.007046	0.9984687	1.013935	1.056521	1.0044625	1.0081935	1.099902	1.016258	0.982521	1.042587	1.01529	1.067478	1.032934	1.0457
