Time	ROI1	ROI2	ROI3	ROI4	ROI5	ROI6	ROI7	ROI8	ROI9	ROI10	ROI11	ROI12	ROI13	ROI14	ROI15	ROI16
0.93	1.020477	1.00065708	1.048112	0.9961954	1.027609	1.020682	1.053451	1.024315	1.0027918	0.9942084	0.978495	0.972273	1.054958	1.033174	1.036832	0.939937
0.94	0.9959408	0.9940842	1.033563	1.037341	1.036731	1.015306	1.026	1.08796	1.0034156	1.0028969	1.060013	1.032767	1.030938	0.99908851	1.040781	0.9944693
0.95	1.0047514	0.978918	1.023767	1.038482	0.9939151	0.975994	1.075984	1.021507	1.026407	1.017866	0.978785	1.034183	1.012447	1.053873	1.024604	1.028651
0.96	0.9913309	1.0011111	1.029527	1.079526	0.970091	1.0038962	0.9974602	1.050954	1.029906	0.9964899	1.078024	1.010475	1.073166	1.047976	1.045233	1.095662
0.97	1.034452	0.988942	1.044749	1.032742	1.039215	1.035305	1.043194	0.981362	1.045433	1.040579	1.080717	1.051399	1.021187	1.045496	1.016015	1.017966
0.98	1.022713	1.012819	1.050448	0.9966763	1.040051	1.053688	1.077479	1.011222	1.050289	1.069039	1.07156	1.051846	1.07836	1.0722	1.077111	0.9963725
0.99	1.014986	1.016354	1.081403	1.0075192	0.9988424	1.0091418	0.9918072	1.029195	1.022112	1.016382	0.9971296	0.975536	0.9983361	1.021795	1.029024	0.919726
1	1.0037035	1.023092	1.049437	1.04239	1.042087	1.00060702	1.033567	1.0073347	0.988653	1.0053198	0.9898	1.011521	1.0093202	1.022199	1.043073	1.020018
1.01	1.016929	0.9910103	0.978325	1.00078569	1.049565	1.030995	0.987873	1.026856	1.020472	1.023309	1.025915	1.012903	1.0057528	1.036918	1.012796	0.9975297
1.02	0.9925837	1.021127	0.9912978	0.99548	0.981309	1.046362	0.978917	1.0071296	1.02721	1.049579	1.022333	1.031866	1.022935	1.049586	1.0081442	0.971745
1.03	0.9964273	1.042864	1.047815	1.026659	1.028567	1.071404	1.037281	1.015752	1.045771	0.9933161	1.0059005	0.980615	1.02552	1.071505	1.07478	0.9953664
1.04	1.020309	1.021878	1.014746	1.0056496	1.0035503	0.997646	1.024575	0.97959	1.0032609	0.974581	1.038519	0.9935172	1.020996	0.988869	1.01567	1.021896
1.05	1.019916	1.00021886	1.010787	1.069369	1.033501	1.025982	0.982188	1.048081	1.032051	1.00014065	1.092285	1.035709	0.98323	0.9953444	0.9907548	1.0020023
1.06	1.025608	1.01615	1.014256	1.0414	0.983658	1.042955	1.055983	1.042768	1.011897	1.012018	0.982584	1.016542	0.9904696	0.9905067	1.0035019	1.016591
1.07	1.011226	1.012607	1.03023	1.041474	1.01738	1.020792	1.061631	1.046372	0.981752	0.99939108	1.10511	1.017076	0.959919	1.020217	1.048868	0.955863
1.08	1.013265	1.045463	1.023866	1.01972	1.024437	1.026704	1.025398	1.041161	1.048745	1.018539	1.08304	0.9862	1.038509	1.013863	1.047143	1.041234
1.09	1.0089288	0.978642	1.019866	1.0072812	1.031664	1.0058619	1.047061	0.983432	1.0022586	1.021015	1.00031572	1.043039	1.036117	0.984981	0.973075	1.00049049
1.1	1.050575	1.015869	1.044381	0.988584	1.045877	1.10532	1.050517	1.043279	1.029143	1.030092	0.976907	1.068107	0.949392	1.003655	1.0046966	1.040396
1.11	0.9911856	1.010277	1.029377	1.079534	1.032756	1.054605	1.089476	0.973344	1.019094	0.9940506	0.934272	1.0058698	1.005819	1.053024	1.018867	1.020721
1.12	1.04743	1.0080168	1.075842	1.043048	1.055228	1.051071	1.044211	1.08824	1.035317	1.069002	0.9914164	1.065545	0.9903813	1.027386	1.015852	1.042723
1.13	0.984851	1.027173	1.11623	1.051499	1.040598	1.04632	1.047185	1.075182	1.019581	1.017699	1.027365	0.988411	1.055606	1.012425	1.041277	1.078699
1.14	1.0016596	1.015169	0.979473	1.052642	1.055451	1.043364	1.046467	1.045739	0.9983056	1.012336	1.036746	1.022271	1.032878	0.989463	1.050942	1.01667
1.15	1.0060939	1.0046161	1.00096743	1.0073992	0.99928229	1.010024	1.054959	1.037282	1.062302	1.010747	1.039404	1.0094247	1.0086844	1.011487	0.983979	0.9947104
1.16	1.0014287	1.0010135	1.048453	0.94135	0.985732	1.077137	1.053136	1.020966	1.048955	1.052387	1.0030732	1.042804	1.0071882	1.022369	1.035302	1.06435
1.17	0.9971748	1.010936	1.004026	0.979935	0.9955695	1.017476	1.060552	0.9953593	0.98616	1.018119	1.026726	1.0072284	1.0071875	1.062809	1.028727	1.043488
1.18	1.0031816	1.023705	0.98885	0.984625	1.0027811	0.987093	1.033732	1.009018	1.056351	1.013147	0.974882	1.00046642	0.9927972	1.032803	0.985573	0.9909446
1.19	1.026167	0.9963559	1.052372	1.012679	1.01316	1.013929	1.0019179	1.02598	0.99008	1.00069063	1.037266	1.013775	0.982058	0.9982427	1.071399	1.039505
1.2	1.013937	1.010687	0.989093	1.05566	1.057362	1.038973	1.064654	1.041635	1.024265	1.024206	1.062711	1.022404	1.014653	0.961423	1.062944	1.090945
1.21	1.0014193	1.0056518	0.982052	0.996344	1.026046	1.0073698	1.0015456	0.9951074	1.038271	1.051048	1.014824	1.011892	0.981608	1.024967	1.024517	0.981552
1.22	1.016777	0.9983377	1.036219	1.0025182	1.090272	0.9968476	1.042633	1.0033636	0.9941354	0.979816	1.019456	0.9917968	1.0039273	1.028162	1.063918	1.045123
1.23	1.033039	0.982115	1.041899	1.059919	1.054753	1.039292	1.03777	0.9955813	1.033025	1.035274	1.027402	0.990557	1.042056	1.079393	1.037841	1.015374
1.24	1.040609	0.9956617	1.0299	1.059713	0.9995007	1.055453	1.058241	0.985522	1.033933	0.982503	1.0067279	0.97302	0.965348	1.053335	1.046744	1.055331
1.25	0.9917168	1.00051817	1.011547	1.012743	1.012785	1.000093128	1.027222	1.050647	1.029229	1.014886	1.017144	1.00674	0.9961249	1.060694	0.979733	1.015807
1.26	1.019442	0.988721	0.99943247	1.035951	1.015803	0.958915	1.015101	1.0041537	1.028662	0.970069	0.985719	0.957524	0.956985	1.028793	0.969048	0.9938847
1.27	1.0070199	0.9936178	0.974749	0.981677	0.977856	0.913924	1.022501	1.010237	1.0019098	1.0014599	0.981287	0.917359	0.99980707	1.012223	1.044457	0.971187
1.28	1.0092156	1.0018647	0.986828	1.027162	1.02006	0.989486	0.986752	1.010578	0.9920751	1.053126	1.053982	0.9966035	1.020683	1.01843	1.054772	1.060787
1.29	1.0082812	1.0079316	0.992195	1.010156	1.0074266	0.9943064	0.978586	0.9918584	1.031249	0.9962916	1.018335	0.979301	1.0011688	0.975722	1.0033281	1.00082225
