Time	ROI1	ROI2	ROI3	ROI4	ROI5	ROI6
2.91	1.0671	1.11083	1.13198	1.063579	1.026552	1.059575
2.92	1.10621	1.091835	1.15005	1.073835	1.12125	1.091496
2.93	1.093122	1.12287	1.096102	1.070309	1.11828	1.097871
2.94	1.097566	1.087338	1.096305	1.10405	1.10628	1.055727
2.95	1.072312	1.094123	1.1136	1.056704	1.088034	1.012422
2.96	1.077241	1.074899	1.092195	1.054514	1.078048	1.048063
2.97	1.08051	1.010735	1.097838	1.058852	1.037244	1.028795
2.98	1.074267	1.079851	1.026733	1.059422	1.030629	1.040222
2.99	1.04595	1.041609	1.056836	1.045451	1.065745	1.052367
3	1.042845	1.058189	1.063363	1.071655	1.064924	1.043956
3.01	1.025225	1.054453	1.047534	1.057297	1.023825	1.044771
3.02	1.029699	1.057647	1.064284	1.043138	1.00075412	1.012965
3.03	1.032658	1.055038	1.068401	1.061447	1.039863	1.057606
3.04	1.04858	1.089012	1.08923	1.045441	1.020104	1.030904
3.05	1.022526	1.047402	1.058066	1.051005	1.018325	1.036724
3.06	1.049146	1.063058	1.085294	1.038776	1.079008	1.080241
3.07	1.027731	1.083146	1.03114	1.052462	1.043774	1.04018
3.08	1.035363	1.045094	1.080626	1.036028	1.07796	1.10414
3.09	1.053846	1.077845	1.058882	1.041899	1.088619	1.11408
3.1	1.066397	1.070318	1.040745	1.015109	1.049507	1.084005
3.11	1.061591	1.063438	1.042429	1.038734	1.061889	1.060309
3.12	1.050883	1.069479	1.074395	1.023294	1.038209	1.070485
3.13	1.018673	1.039111	1.10604	1.026858	1.059511	1.051853
3.14	1.037191	1.067359	1.081072	1.056614	1.025223	1.08118
3.15	1.045825	1.048994	1.096463	1.013847	1.05731	1.079454
3.16	1.044412	1.023461	1.17054	1.039445	1.020596	1.05966
3.17	1.062633	1.029872	1.12144	1.045315	1.044305	1.080564
3.18	1.021988	1.042005	1.11972	1.0080119	1.011087	1.058965
3.19	1.044929	1.07925	1.11274	1.032871	1.050014	1.056736
3.2	1.051012	1.066818	1.10738	1.062652	1.036234	1.050663
3.21	1.020221	1.016295	1.091921	1.015771	1.00098694	1.0062879
3.22	1.076905	1.054085	1.1281	1.024389	1.046584	1.067495
3.23	1.036955	1.047731	1.090349	1.035283	1.035667	1.078629
3.24	1.047145	1.039765	1.041081	1.059518	1.031602	1.036506
3.25	1.072249	1.0074318	1.050476	1.028476	1.010067	1.052736
3.26	1.062556	1.020319	1.068419	1.017342	1.0038241	1.048187
3.27	1.042892	1.027954	1.065706	1.025117	1.033088	1.05742
3.28	1.052201	1.026416	1.067647	1.046912	1.031248	1.087531
3.29	1.045577	1.043148	1.05655	1.036503	1.042766	1.075351
3.3	1.058146	1.053765	1.038294	1.050911	1.054218	1.056568
3.31	1.058769	1.04676	1.048117	1.052611	1.015189	1.0396
3.32	1.064937	1.032793	1.060856	1.059691	1.012138	1.040042
3.33	1.04874	1.040876	1.049838	1.044646	1.020596	1.058298
3.34	1.058363	1.017874	1.010486	1.012009	1.012023	1.05282
3.35	1.050124	1.060123	1.04799	1.052787	1.042363	1.01529
3.36	1.065814	1.023666	1.048506	1.039272	1.057818	1.04593
3.37	1.031387	1.036295	1.0025246	1.037913	1.020689	1.073702
3.38	1.053084	1.011918	1.056521	1.05381	1.03569	1.025379
3.39	1.090598	1.095317	1.052885	1.058992	1.15593	1.084319
3.4	1.14303	1.082377	1.062357	1.11691	1.13378	1.12381
3.41	1.12765	1.081915	1.045906	1.10207	1.073277	1.087189
3.42	1.13	1.08392	1.051225	1.10577	1.096154	1.06839
3.43	1.11325	1.092215	1.04654	1.092794	1.076281	1.071146
3.44	1.12364	1.12611	1.038884	1.083542	1.031299	1.065715
3.45	1.12287	1.15705	1.023828	1.082322	1.065675	1.053408
3.46	1.10441	1.14681	1.041624	1.089413	1.073066	1.056391
3.47	1.08736	1.13105	1.086721	1.069106	1.033622	1.050019
3.48	1.093162	1.11604	1.050258	1.092344	1.034402	1.04655
3.49	1.10798	1.12565	1.07692	1.089096	1.068186	1.042017
3.5	1.076967	1.10182	1.05674	1.090533	1.064454	1.079993
3.51	1.068422	1.097514	1.03824	1.047028	1.058925	1.057416
3.52	1.042652	1.063981	1.02119	1.05991	1.013463	1.032576
3.53	1.071474	1.077023	1.038495	1.088937	1.071024	1.03244
3.54	1.18154	1.085923	1.041377	1.073112	1.03355	1.073832
3.55	1.15129	1.15114	1.10149	1.07891	1.042347	1.051921
3.56	1.14668	1.14832	1.11199	1.077287	1.034843	1.085737
3.57	1.11124	1.14589	1.17732	1.10503	1.025839	1.046857
3.58	1.12738	1.084325	1.2111	1.10093	1.066107	1.051532
3.59	1.12891	1.078323	1.12631	1.06268	1.022123	1.018772
3.6	1.11493	1.058074	1.089425	1.067422	1.015646	1.0089635
3.61	1.12724	1.070802	1.12041	1.086781	1.051056	1.086215
3.62	1.12439	1.082829	1.11444	1.085237	1.07738	1.054967
3.63	1.080224	1.067424	1.05268	1.048425	1.084046	1.040994
3.64	1.090494	1.055507	1.10602	1.078348	1.088032	1.089361
3.65	1.070361	1.054834	1.14709	1.095748	1.12585	1.069476
3.66	1.071973	1.11588	1.099818	1.09738	1.11906	1.10987
3.67	1.087605	1.098357	1.090364	1.052623	1.089497	1.091469
3.68	1.071437	1.12211	1.09603	1.09258	1.074747	1.063939
3.69	1.062058	1.096044	1.078174	1.062947	1.059484	1.043069
3.7	1.046494	1.079236	1.06936	1.044038	1.06089	1.070732
3.71	1.074893	1.065113	1.085416	1.029157	1.064526	1.061181
3.72	1.087922	1.075504	1.081944	1.068948	1.1101	1.072913
3.73	1.11015	1.074036	1.051236	1.048177	1.039778	1.057618
3.74	1.12087	1.089177	1.084061	1.063122	1.10195	1.069987
3.75	1.094212	1.10345	1.07652	1.067559	1.07357	1.014523
3.76	1.0924	1.06196	1.10251	1.047225	1.063525	1.046058
3.77	1.071639	1.037205	1.070858	1.032279	1.052681	1.032867
3.78	1.059621	1.07614	1.10747	1.048512	1.032842	1.013324
3.79	1.064074	1.068017	1.11121	1.060722	1.032833	1.07207
3.8	1.087447	1.027004	1.073611	1.036498	1.061042	1.021985
3.81	1.084194	1.030313	1.1015	1.068684	1.051512	1.052039
3.82	1.086551	1.044731	1.053523	1.053192	1.0070834	1.044895
3.83	1.091617	1.034889	1.022991	1.05205	1.038949	1.058556
3.84	1.078885	1.032405	1.08281	1.059281	1.034981	1.057639
3.85	1.0711	1.040285	1.069405	1.050046	1.030742	1.044369
3.86	1.062148	1.051311	1.070789	1.087689	1.015337	1.036308
3.87	1.05175	1.064191	1.081562	1.10816	1.062315	1.044123
3.88	1.057305	1.073601	1.10269	1.094384	1.032066	1.05772
3.89	1.05383	1.08106	1.068984	1.051196	1.045506	1.067103
3.9	1.068848	1.092217	1.081174	1.056939	1.023571	1.042239
3.91	1.092812	1.088191	1.074298	1.070457	1.073541	1.059696
3.92	1.11229	1.031951	1.06653	1.067117	1.06351	1.047035
3.93	1.09611	1.032794	1.044949	1.035972	1.036989	1.082073
3.94	1.10008	1.082036	1.095129	1.066439	1.050804	1.093309
3.95	1.11827	1.069315	1.089776	1.06035	1.053372	1.044399
3.96	1.10274	1.063446	1.073343	1.065034	1.054392	1.096522
3.97	1.10905	1.037695	1.031342	1.06453	1.053068	1.064637
3.98	1.079497	1.053286	1.054616	1.053152	1.05918	1.074726
3.99	1.070905	1.077459	1.072693	1.09909	1.070138	1.052321
4	1.084692	1.083266	1.067928	1.076548	1.015799	1.093388
4.01	1.084419	1.034422	1.080809	1.044325	1.019898	1.09724
4.02	1.087572	1.043547	1.08381	1.048972	1.025196	1.08591
4.03	1.056314	1.055995	1.079454	1.043679	1.057163	1.081528
