Time	ROI1	ROI2	ROI3	ROI4	ROI5	ROI6	ROI7	ROI8	ROI9			
3.46	1.057549	1.045932	1.050125	0.9935972	1.16329	1.086448	1.014315	1.057869	1.043416			
3.47	1.090746	1.050211	1.049076	0.9931919	1.11185	0.975975	0.989811	1.10074	1.056679			
3.48	1.11879	1.026247	1.091709	1.0051624	1.13365	1.070118	1.051423	1.006287	0.98554			
3.49	1.13747	1.024979	1.057045	0.980451	1.10488	1.041846	0.9928311	1.037135	1.088447			
3.5	1.12453	1.043761	1.10257	1.016949	1.090292	0.97725	0.983635	1.0051795	1.018832			
3.51	1.1375	1.063594	1.11358	0.98863	1.097599	0.985547	0.97307	0.980934	1.018165			
3.52	1.1076	1.060946	1.093169	1.024307	1.11688	1.017295	1.024101	1.058326	1.062166			
3.53	1.050279	1.049911	1.11366	0.9923137	1.091667	1.046462	1.012769	0.991212	1.009088			
3.54	1.10179	1.018414	1.076074	0.977523	1.048365	1.032637	1.044879	1.0044618	0.964443			
3.55	1.080508	1.01314	1.048337	1.094081	1.028097	1.25087	0.989126	1.0072913	1.024441			
3.56	1.025212	1.035851	1.024504	1.10784	1.0045641	1.24279	1.0029134	0.9933703	1.050684			
3.57	1.087069	1.046959	1.048795	1.10719	1.025234	1.22468	0.982474	1.0026519	1.035223			
3.58	1.049709	1.030982	1.070199	1.010383	1.074139	1.10309	1.0042645	1.014319	1.11524			
3.59	1.02775	1.044541	1.060278	1.067078	1.062003	1.068801	0.974518	0.969892	1.11437			
3.6	0.9923572	1.055167	1.024001	1.050782	1.098696	1.1531	1.041748	1.017292	1.17315			
3.61	0.9963115	1.035369	1.060472	1.14536	1.028161	1.099737	0.989056	0.982789	1.050149			
3.62	1.0000544	1.047196	1.028799	1.083095	1.025088	1.092569	0.948892	1.013157	1.053007			
3.63	1.032019	1.03697	0.9964809	1.067092	1.10889	1.11942	0.97394	1.054019	1.011715			
3.64	0.97549	1.013514	0.9955307	1.052502	1.032265	1.059592	0.984443	1.055714	1.061345			
3.65	0.959127	1.044699	0.966482	1.041623	1.040063	1.038569	1.078845	1.020187	1.050873			
3.66	0.961788	1.031367	1.086019	0.991498	1.029499	1.041462	1.0091353	1.00064967	0.953798			
3.67	0.98734	1.013169	1.075005	0.982787	1.053639	1.072962	1.014798	0.9913806	1.017008			
3.68	0.990305	1.01895	1.11162	1.002103	0.994591	1.081177	1.025841	1.083347	0.970687			
